index,probability_not_bacteriocin,probability_bacteriocin
1989.0,0.0,0.977
1991.0,0.0001,0.1566
1992.0,0.0047,0.0439
1994.0,0.0,0.3965
2001.0,0.0002,0.0535
2004.0,0.0001,0.0011
2006.0,0.0,0.9997
2008.0,0.0,0.0091
2011.0,0.0029,0.0044
2012.0,0.0006,0.7604
2017.0,0.0015,0.8286
2022.0,0.0,0.1316
2023.0,0.0017,0.0107
2024.0,0.0003,0.9873
2025.0,0.0004,0.0011
2027.0,0.0002,0.0249
2030.0,0.0007,0.0439
2036.0,0.0,0.9999
2038.0,0.0,0.0009
2039.0,0.0,0.9994
2044.0,0.0007,0.0013
2046.0,0.0002,0.0195
2047.0,0.0001,0.3222
2050.0,0.0002,0.7166
2053.0,0.0001,0.1732
2054.0,0.0001,0.1416
2058.0,0.0018,0.0101
2060.0,0.0,0.9487
2061.0,0.0,0.997
2069.0,0.0001,0.7327
2070.0,0.0002,0.0593
2072.0,0.0004,0.002
2073.0,0.0,0.9472
2074.0,0.0,0.1128
2076.0,0.0,0.8313
2077.0,0.0007,0.001
2078.0,0.0069,0.0069
2079.0,0.0003,0.055
2083.0,0.0,0.9123
2084.0,0.0009,0.001
2086.0,0.0,0.9999
2091.0,0.0001,0.9962
2092.0,0.0,0.9604
2093.0,0.0,0.3081
2096.0,0.0,0.9852
2109.0,0.0,0.99
2114.0,0.0002,0.9431
2116.0,0.0,0.9951
2122.0,0.0,1.0
2124.0,0.0,1.0
2127.0,0.0,0.9442
2128.0,0.0017,0.0152
2131.0,0.0013,0.0016
2133.0,0.0001,0.0027
2139.0,0.0,0.4248
2140.0,0.0,0.2622
2149.0,0.0001,0.8182
2150.0,0.0002,0.0132
2153.0,0.0002,0.093
2164.0,0.0,1.0
2172.0,0.0003,0.0062
2173.0,0.0004,0.007
2175.0,0.0039,0.0124
2179.0,0.0003,0.689
2182.0,0.0007,0.0047
2184.0,0.0001,0.701
2187.0,0.0,0.2272
2191.0,0.0,1.0
2193.0,0.0007,0.0104
2195.0,0.0002,0.0971
2197.0,0.0,1.0
2199.0,0.0,0.6622
2200.0,0.0,0.9962
2208.0,0.0002,0.0158
2209.0,0.0021,0.015
2212.0,0.0096,0.073
2214.0,0.0012,0.0057
2217.0,0.0003,0.0154
2221.0,0.0019,0.0037
2228.0,0.0,0.2701
2229.0,0.0046,0.0097
2232.0,0.0,0.894
2234.0,0.0,0.1622
2236.0,0.0001,0.9977
2240.0,0.0001,0.5821
2242.0,0.0001,0.8423
2243.0,0.0,0.9974
2247.0,0.0001,0.0026
2254.0,0.0,0.0644
2260.0,0.0005,0.0995
2262.0,0.0,0.809
2264.0,0.0003,0.0004
2266.0,0.0,1.0
2268.0,0.0032,0.0151
2271.0,0.0001,0.8369
2276.0,0.0009,0.5177
2277.0,0.0002,0.0117
2278.0,0.0,0.0039
2283.0,0.0003,0.0038
2287.0,0.0052,0.2129
2288.0,0.0001,0.8467
2292.0,0.0023,0.015
2294.0,0.0,0.9837
2297.0,0.0,0.9617
2298.0,0.0003,0.0463
2303.0,0.0,0.9926
2309.0,0.0011,0.0023
2310.0,0.0001,0.1134
2313.0,0.0,1.0
2315.0,0.0,0.233
2318.0,0.0019,0.0048
2319.0,0.0,1.0
2320.0,0.0016,0.0258
2332.0,0.0001,0.0361
2333.0,0.001,0.8436
2335.0,0.0001,0.0124
2336.0,0.0001,0.8044
2338.0,0.0004,0.1644
2341.0,0.0,0.9831
2343.0,0.0001,0.0011
2345.0,0.0002,0.0043
2346.0,0.0016,0.0045
2347.0,0.0007,0.9756
2348.0,0.0002,0.0003
2350.0,0.0,1.0
2351.0,0.0,0.9999
2352.0,0.0,0.1001
2354.0,0.0004,0.0058
2356.0,0.0016,0.7281
2362.0,0.0,0.6509
2365.0,0.0003,0.9811
2366.0,0.0004,0.0028
2367.0,0.0062,0.0461
2368.0,0.0,0.0182
2370.0,0.0011,0.0152
2373.0,0.0035,0.3458
2374.0,0.0003,0.0009
2375.0,0.0,0.9993
2381.0,0.0001,0.998
2382.0,0.0008,0.008
2385.0,0.0001,0.0199
2395.0,0.0008,0.0197
2398.0,0.0036,0.0514
2399.0,0.0004,0.3873
2400.0,0.0,0.0001
2405.0,0.0029,0.0254
2412.0,0.0,0.9507
2415.0,0.0008,0.0043
2417.0,0.0013,0.3945
2418.0,0.0006,0.0382
2424.0,0.0011,0.0014
2428.0,0.0009,0.0206
2429.0,0.0005,0.0072
2432.0,0.0446,0.0698
2433.0,0.0,0.2301
2443.0,0.0007,0.5279
2445.0,0.0007,0.191
2448.0,0.0018,0.6937
2449.0,0.0,0.0538
2451.0,0.0019,0.027
2454.0,0.0,0.1554
2462.0,0.0,0.44
2465.0,0.0,0.0048
2466.0,0.0,0.9411
2470.0,0.0001,0.3039
