{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 2, 'dropout1': 0.1, 'dropout2': 0.2, 'pool_size': 3, 'conv_filters2': 50, 'dense_units': 120, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.6931471824645996, 0.5], [0.6931471824645996, 0.5]), 'p_i': 26}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 1, 'dropout1': 0, 'dropout2': 0, 'pool_size': 3, 'conv_filters2': 50, 'dense_units': 120, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.1477606134650147, 0.95679015], [0.0014980646057126948, 0.9993065]), 'p_i': 27}
{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 2, 'dropout1': 0.1, 'dropout2': 0, 'pool_size': 7, 'conv_filters2': 50, 'dense_units': 30, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.1422339379557488, 0.95679015], [0.008181680038433736, 0.9993065]), 'p_i': 28}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 1, 'dropout1': 0, 'dropout2': 0.5, 'pool_size': 3, 'conv_filters2': 300, 'dense_units': 30, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.4773145089914768, 0.93209875], [0.015001095940388169, 0.99722606]), 'p_i': 29}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 3, 'dropout1': 0.4, 'dropout2': 0.5, 'pool_size': 3, 'conv_filters2': 50, 'dense_units': 120, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.6931471824645996, 0.5], [0.6931471824645996, 0.5]), 'p_i': 30}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 3, 'dropout1': 0.4, 'dropout2': 0.2, 'pool_size': 7, 'conv_filters2': 150, 'dense_units': 30, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.6931471824645996, 0.5], [0.6931471824645996, 0.5]), 'p_i': 31}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 2, 'dropout1': 0.1, 'dropout2': 0.2, 'pool_size': 3, 'conv_filters2': 50, 'dense_units': 30, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.3452288853238123, 0.9506173], [0.012638586682106085, 0.99791956]), 'p_i': 32}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 1, 'dropout1': 0, 'dropout2': 0.2, 'pool_size': 3, 'conv_filters2': 150, 'dense_units': 30, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.15204030164965807, 0.95679015], [0.0028182043809890645, 0.9993065]), 'p_i': 33}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [2, 3, 4], 'maps_per_kernel': 3, 'dropout1': 0.4, 'dropout2': 0, 'pool_size': 7, 'conv_filters2': 50, 'dense_units': 60, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.10707821685103643, 0.9506173], [0.00832093266163786, 0.9993065]), 'p_i': 34}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 1, 'dropout1': 0.1, 'dropout2': 0.2, 'pool_size': 7, 'conv_filters2': 150, 'dense_units': 60, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.18239284647099757, 0.962963], [0.0010024818894549625, 0.9993065]), 'p_i': 35}
